codigo_1,codigo_2,municipio,score_nombre,score_direccion,telefono_igual,decision
01-14-0016-46,01-14-0018-46,AMATITLAN,0.9615,1.0,False,pendiente_revision_manual
01-14-0061-46,01-14-0148-46,AMATITLAN,1.0,0.8039,True,pendiente_revision_manual
01-14-0131-46,01-14-8821-46,AMATITLAN,1.0,0.5909,True,pendiente_revision_manual
01-14-0131-46,01-14-8840-46,AMATITLAN,1.0,0.8136,True,pendiente_revision_manual
01-14-0131-46,01-14-9722-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0131-46,01-14-9724-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0131-46,01-14-9830-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-8821-46,01-14-8840-46,AMATITLAN,1.0,0.6341,True,pendiente_revision_manual
01-14-8821-46,01-14-9722-46,AMATITLAN,1.0,0.5909,True,pendiente_revision_manual
01-14-8821-46,01-14-9724-46,AMATITLAN,1.0,0.5909,True,pendiente_revision_manual
01-14-8821-46,01-14-9830-46,AMATITLAN,1.0,0.5909,True,pendiente_revision_manual
01-14-8840-46,01-14-9722-46,AMATITLAN,1.0,0.8136,True,pendiente_revision_manual
01-14-8840-46,01-14-9724-46,AMATITLAN,1.0,0.8136,True,pendiente_revision_manual
01-14-8840-46,01-14-9830-46,AMATITLAN,1.0,0.8136,True,pendiente_revision_manual
01-14-9722-46,01-14-9724-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-9722-46,01-14-9830-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-9724-46,01-14-9830-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0078-46,01-14-0185-46,AMATITLAN,1.0,0.9677,False,pendiente_revision_manual
01-14-0078-46,01-14-7854-46,AMATITLAN,1.0,0.7692,True,pendiente_revision_manual
01-14-0078-46,01-14-8181-46,AMATITLAN,1.0,0.7692,True,pendiente_revision_manual
01-14-0185-46,01-14-7854-46,AMATITLAN,1.0,0.8,False,pendiente_revision_manual
01-14-0185-46,01-14-8181-46,AMATITLAN,1.0,0.8,False,pendiente_revision_manual
01-14-7854-46,01-14-8181-46,AMATITLAN,1.0,1.0,True,pendiente_revision_manual
01-14-0146-46,01-14-0196-46,AMATITLAN,1.0,0.747,True,pendiente_revision_manual
