codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental,fecha_extraccion,fuente_url,nivel_consulta,sector_consulta,plan_consulta,modalidad_consulta,departamento_consulta,departamento_consulta_codigo,municipio_consulta
04-01-2278-46,04-01-0215,CHIMALTENANGO,CHIMALTENANGO,COLEGIO LICEO INTEGRAL CIENTIFICO EN COMPUTACION,4A. AVE. 5-80 ZONA 2,78394756,MARÍA ROSALBA OVALLE CARCUS DE MAXIÁ,JOSÉ ALBERTO TAGUAL CHAVAC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIMALTENANGO,04,
04-01-2287-46,04-002,CHIMALTENANGO,CHIMALTENANGO,COLEGIO EVANGELICO MIXTO ALPHA Y OMEGA,KM. 58 CARRETERA INTERAMERICANA (INTERIOR 100 METROS),78399790,EDNA NOHELIA PÉREZ TOJ DE LÓPEZ,MARCO TULIO GODOY JORDÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIMALTENANGO,04,
04-01-2291-46,04-001,CHIMALTENANGO,CHIMALTENANGO,COLEGIO EVANGELICO MIXTO AMERICA,6A. AVENIDA 2-17 ZONA 4,,ABIMAEL ACUTA ABAJ,JAVIER SANCHEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIMALTENANGO,04,
04-01-2294-46,04-01-0217,CHIMALTENANGO,CHIMALTENANGO,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""",8A. AVENIDA 3-59 ZONA 2,77741100,JUAN CARLOS CHIQUITÓ CÁN,JOSE EDWIN VILLARREAL AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIMALTENANGO,04,
04-01-2295-46,04-01-0217,CHIMALTENANGO,CHIMALTENANGO,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""",8A. AVENIDA 3-59 ZONA 2,77741100,JUAN CARLOS CHIQUITÓ CÁN,JOSE EDWIN VILLARREAL AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIMALTENANGO,04,
04-01-2322-46,04-020,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGÉLICO AMÉRICA LATINA,6A. AVENIDA 3-48 ZONA 5,78391447,MARILENA HERNÁNDEZ CABRERA,AXEL EDUARDO ESTRADA CHÁVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIMALTENANGO,04,
04-01-2549-46,04-027,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO BILINGUE 'KAJI' IMOX',6A. CALLE 5-30 QUINTA LOS APOSENTOS I ZONA 1,78392348,MARÍA ROSALBA OVALLE CARCUS DE MAXÍA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,BILINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIMALTENANGO,04,
04-01-2550-46,04-001,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO 'WASHINGTON',1A. CALLE 6-09 ZONA 4,78391054,ABIMAEL ACUTA ABAJ,CARLOS ENRIQUE ROCA RUANO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIMALTENANGO,04,
04-01-2552-46,04-020,CHIMALTENANGO,CHIMALTENANGO,CENTRO EDUCATIVO CON ORIENTACION VOCACIONAL Y OCUPACIONAL POPO WUJ,KM. 52.5 ATRAS COLONIA QUINTAS LAS VICTORIAS,78393245-78393246,MARILENA HERNÁNDEZ CABRERA,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIMALTENANGO,04,
04-01-2556-46,04-028,CHIMALTENANGO,CHIMALTENANGO,LICEO 'APLICADO EN COMPUTACION',"6A. CALLE 4-54 ZONA 1, COLONIA LOS APOSENTOS I",,KARLA YADIRA PÉREZ SALAZAR,.,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,CHIMALTENANGO,04,
